timestep,raw_value,voltage_V,tds_ppm
522,93,0.454,197.4
523,93,0.454,197.4
524,93,0.454,197.4
525,94,0.459,199.6
526,94,0.459,199.6
527,93,0.454,197.4
528,93,0.454,197.4
529,93,0.454,197.4
530,93,0.454,197.4
531,93,0.454,197.4
532,94,0.459,199.6
533,93,0.454,197.4
534,94,0.459,199.6
535,94,0.459,199.6
536,93,0.454,197.4
537,93,0.454,197.4
538,93,0.454,197.4
539,94,0.459,199.6
540,94,0.459,199.6
541,93,0.454,197.4
542,93,0.454,197.4
543,93,0.454,197.4
544,93,0.454,197.4
545,93,0.454,197.4
546,93,0.454,197.4
547,93,0.454,197.4
548,93,0.454,197.4
549,94,0.459,199.6
550,93,0.454,197.4
551,93,0.454,197.4
552,93,0.454,197.4
553,94,0.459,199.6
554,94,0.459,199.6
555,94,0.459,199.6
556,94,0.459,199.6
557,94,0.459,199.6
558,93,0.454,197.4
559,94,0.459,199.6
560,93,0.454,197.4
561,94,0.459,199.6
562,93,0.454,197.4
563,93,0.454,197.4
564,93,0.454,197.4
565,94,0.459,199.6
566,94,0.459,199.6
567,94,0.459,199.6
568,94,0.459,199.6
569,94,0.459,199.6
570,94,0.459,199.6
571,94,0.459,199.6
572,94,0.459,199.6
573,94,0.459,199.6
574,94,0.459,199.6
575,94,0.459,199.6
576,94,0.459,199.6
577,94,0.459,199.6
578,94,0.459,199.6
579,94,0.459,199.6
580,94,0.459,199.6
581,94,0.459,199.6
582,94,0.459,199.6
583,94,0.459,199.6
584,93,0.454,197.4
585,94,0.459,199.6
586,93,0.454,197.4
587,94,0.459,199.6
588,93,0.454,197.4
589,94,0.459,199.6
590,94,0.459,199.6
591,93,0.454,197.4
592,94,0.459,199.6
593,94,0.459,199.6
594,94,0.459,199.6
595,94,0.459,199.6
596,94,0.459,199.6
597,93,0.454,197.4
598,94,0.459,199.6
599,93,0.454,197.4
600,94,0.459,199.6
601,94,0.459,199.6
602,93,0.454,197.4
603,94,0.459,199.6
604,93,0.454,197.4
605,94,0.459,199.6
606,93,0.454,197.4
607,94,0.459,199.6
608,93,0.454,197.4
609,94,0.459,199.6
610,94,0.459,199.6
611,93,0.454,197.4
612,94,0.459,199.6
613,94,0.459,199.6
614,94,0.459,199.6
615,94,0.459,199.6
616,94,0.459,199.6
617,94,0.459,199.6
618,93,0.454,197.4
619,94,0.459,199.6
620,94,0.459,199.6
621,94,0.459,199.6
622,93,0.454,197.4
623,93,0.454,197.4
624,94,0.459,199.6
625,93,0.454,197.4
626,94,0.459,199.6
627,93,0.454,197.4
628,93,0.454,197.4
629,94,0.459,199.6
630,94,0.459,199.6
631,94,0.459,199.6
632,94,0.459,199.6
633,93,0.454,197.4
634,93,0.454,197.4
635,94,0.459,199.6
636,94,0.459,199.6
637,94,0.459,199.6
638,94,0.459,199.6
639,94,0.459,199.6
640,94,0.459,199.6
641,93,0.454,197.4
642,93,0.454,197.4
643,93,0.454,197.4
644,94,0.459,199.6
645,94,0.459,199.6
646,94,0.459,199.6
647,94,0.459,199.6
648,94,0.459,199.6
649,93,0.454,197.4
650,94,0.459,199.6
651,93,0.454,197.4
652,93,0.454,197.4
653,93,0.454,197.4
654,93,0.454,197.4
655,94,0.459,199.6
656,94,0.459,199.6
657,94,0.459,199.6
658,94,0.459,199.6
659,94,0.459,199.6
660,94,0.459,199.6
661,93,0.454,197.4
662,93,0.454,197.4
663,93,0.454,197.4
664,93,0.454,197.4
665,94,0.459,199.6
666,93,0.454,197.4
667,93,0.454,197.4
668,94,0.459,199.6
669,94,0.459,199.6
670,93,0.454,197.4
671,93,0.454,197.4
672,93,0.454,197.4
673,94,0.459,199.6
674,94,0.459,199.6
675,94,0.459,199.6
676,94,0.459,199.6
677,94,0.459,199.6
678,94,0.459,199.6
679,94,0.459,199.6
680,93,0.454,197.4
681,93,0.454,197.4
682,93,0.454,197.4
683,94,0.459,199.6
684,94,0.459,199.6
685,93,0.454,197.4
686,95,0.464,201.7
687,94,0.459,199.6
688,93,0.454,197.4
